Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date
149013,"Cho thuê phòng chung cư q7, Nhà Bè giá rẻ giờ giấc tự do, an ninh",2.8,20.0,Nhà Bè,Hồ Chí Minh,25/06/2018 
150018,"Nhà trọ mới xây đường Bờ Bao Tân Thắng, 2,5 triệu/tháng, giờ giấc tự do",2.5,65.0,Tân Phú,Hồ Chí Minh,25/06/2018 
150570,"Cho thuê phòng siêu đẹp, nguyên tầng, HXT Phan Chu Trinh",7.5,39.0,Bình Thạnh,Hồ Chí Minh,03/07/2018 
150620,"Hệ thống nhà full nội thất Happy House giá từ 2,5 - 5,5tr/tháng",2.5,,Quận 7,Hồ Chí Minh,25/06/2018 
150880,"Cho thuê phòng trọ ở được từ 3 - 4 người/27m2, gác đúc, ngay ngã tư Bình Triệu, giá 2.9 triệu/tháng",2.9,27.0,Thủ Đức,Hồ Chí Minh,04/07/2018 
150896,Căn hộ mini trung tâm Quận 1 - 6trđ 35m2,6.0,35.0,Quận 1,Hồ Chí Minh,25/06/2018 
150979,Chính chủ cho thuê phòng đầy đủ tiện nghi kế bên ĐH Nguyễn Tất Thành Cơ sở 3 Q.Gò Vấp - 0979727656,3.2,24.0,Gò Vấp,Hồ Chí Minh,03/07/2018 
151805,"Cho thuê căn hộ mini full nội thất, ngay trung tâm quận Bình Thạnh",,23.0,Bình Thạnh,Hồ Chí Minh,25/06/2018 
151824,"Cần 1 nữ ở ghép, giờ giấc tự do 650k/ tháng",0.65,,Tân Bình,Hồ Chí Minh,26/06/2018 
151843,"Phòng giá cực hot ngay trung tâm, phường 1, Bình Thạnh, Hồ Chí Minh",1.3,5.0,Bình Thạnh,Hồ Chí Minh,06/07/2018 
152106,"Cho nữ thuê phòng, ở ghép tại căn hộ HAGL An Tiến sát Q7",1.9,,Nhà Bè,Hồ Chí Minh,26/06/2018 
152304,"Q. 12, ký túc xá cao cấp bao điện nước gần trường ĐH giao thông vận tải - 800k/tháng",0.8,20.0,Quận 12,Hồ Chí Minh,04/07/2018 
153354,"Phòng rộng 25m2, có sân thượng riêng- 313 Đinh Bộ Lĩnh, gần Hàng Xanh, 3.5 triệu/tháng",3.5,25.0,Bình Thạnh,Hồ Chí Minh,26/06/2018 
153837,"Phòng đầy đủ tiện nghi Ung Văn Khiêm, Bình Thạnh",4.5,25.0,Bình Thạnh,Hồ Chí Minh,26/06/2018 
154802,"Cho thuê phòng đẹp, an ninh, sạch sẽ, máy lạnh. LH: 0908546012",2.9,22.0,Bình Thạnh,Hồ Chí Minh,26/06/2018 
154873,"Cần tìm 1 bạn ở ghép, căn hộ parspring, 2PN có nội thất chỉ 3 triệu/tháng, LH 0909888934",3.0,,Quận 2,Hồ Chí Minh,26/06/2018 
154981,Cho thuê căn hộ mini có gác để ở gia đình và kinh doanh online - 6 trđ- quận 1,6.0,35.0,Quận 1,Hồ Chí Minh,26/06/2018 
156102,"Cho thuê phòng trọ cao cấp thích hợp với các bạn nhân viên văn phòng tại 40/18 Trần Đình Xu, Q.1",3.5,18.0,Quận 1,Hồ Chí Minh,26/06/2018 
156204,Cho thuê phòng giờ giấc tự do có ban công rộng,3.0,12.0,Tân Bình,Hồ Chí Minh,26/06/2018 
156334,"Phòng đẹp mới xây, phòng tại địa chỉ: 125/31 đường Cây Trâm, phường 9, Q, Gò Vấp, TP. HCM",3.0,28.0,Gò Vấp,Hồ Chí Minh,26/06/2018 
156776,Phòng trọ ký túc xá cao cấp quận Bình Tân,0.75,30.0,Bình Tân,Hồ Chí Minh,26/06/2018 
157382,CĂN HỘ THU NHỎ ĐẦY ĐỦ TIỆN ÍCH BẢO VỆ 24/24 GẦN CHỢ BÀ CHIỂU,3.2,,Bình Thạnh,Hồ Chí Minh,26/06/2018 
157708,"Cho thuê phòng ở tiện nghi khu vực sân bay, Tân Bình. 0918663997",4.5,20.0,Tân Bình,Hồ Chí Minh,26/06/2018 
157814,"Cho thuê phòng trọ sinh viên cao cấp, giá rẻ - đường Điện Biên Phủ, P. 22, Quận Bình Thạnh",2.5,20.0,Bình Thạnh,Hồ Chí Minh,26/06/2018 
157890,"Cho thuê căn hộ studio mới decor xinh lung linh quận Phú Nhuận, giá chỉ 5.5tr/th",5.5,25.0,Phú Nhuận,Hồ Chí Minh,26/06/2018 
157949,"Cho thuê phòng trọ khu dân cư Nam Hùng Vương, quận Bình Tân",1.8,15.0,Bình Tân,Hồ Chí Minh,26/06/2018 
158840,"Share 2 phòng ở ghép Topaz, Q. Tân Phú, full NT, giá 4.5tr/th. LH: 0933.72 22 72",4.5,,Tân Phú,Hồ Chí Minh,26/06/2018 
159976,Căn phòng cao cấp ngay trung tâm quận 1 dành riêng cho người phong cách,6.0,22.0,Quận 1,Hồ Chí Minh,26/06/2018 
160160,Căn hộ mới xây giá sinh rẻ ngay khu công nghiệp Tân Bình,3.5,22.0,Tân Phú,Hồ Chí Minh,26/06/2018 
160425,"Phòng đầy đủ nội thất 153/10 Nguyễn Thị Minh Khai, Quận 1",6.5,24.0,Quận 1,Hồ Chí Minh,26/06/2018 
160613,"Cho thuê nhà nguyên căn có 3 tầng, cho thuê tầng 3, 2,5tr/tháng/40m2, Thủ Đức",2.5,60.0,Thủ Đức,Hồ Chí Minh,27/06/2018 
161239,"Còn 2 phòng trọ cho thuê, ở chung cư 38 Vũ Huy Tấn, P. 3, Quận Bình Thạnh, liên hệ Nguyễn Lang",2.0,15.0,Bình Thạnh,Hồ Chí Minh,27/06/2018 
161392,Cho thuê phòng gần ngã 4 Lê Văn Sỹ - Phạm Văn Hai. LH: 0961.960.264,3.5,20.0,Tân Bình,Hồ Chí Minh,26/06/2018 
161406,Cho thuê phòng gần đường Trần Não - Quận 2,3.5,20.0,Quận 2,Hồ Chí Minh,26/06/2018 
161468,"Căn hộ thu nhỏ đầy đủ nội thất, có ban công riêng, bếp, nhà xe vệ 24/24",4.0,25.0,Bình Thạnh,Hồ Chí Minh,27/06/2018 
161475,"Căn hộ thu nhỏ đầy đủ tiện ích, ban riêng, bếp riêng, bảo vệ 24/24",4.0,,Bình Thạnh,Hồ Chí Minh,27/06/2018 
161477,"Căn hộ thu nhỏ đầy đủ tiện ích, có bếp, ban công riêng, nhà xe rộng, an ninh",4.0,25.0,Bình Thạnh,Hồ Chí Minh,04/07/2018 
161478,"Căn hộ thu nhỏ đầy đủ nội thất xây cao cấp, an ninh tuyệt đối",4.0,25.0,Bình Thạnh,Hồ Chí Minh,04/07/2018 
161479,"Căn hộ thu nhỏ mới xây cao cấp, có ban công riêng, nhà xe bảo vệ 24/24",4.0,25.0,Bình Thạnh,Hồ Chí Minh,04/07/2018 
161480,"Chung cư mini mới xây cao cấp, ban công riêng, có bếp, nhà xe bảo vệ 24/24",,,Bình Thạnh,Hồ Chí Minh,04/07/2018 
161565,"Cho thuê phòng trọ 1,9tr/ tháng",1.9,20.0,Gò Vấp,Hồ Chí Minh,27/06/2018 
162010,"KTX dành cho sinh viên và người đi làm thu nhập thấp tại ngã tư Hàng Xanh, BT giá 400nghìn/ng/tháng",,,Bình Thạnh,Hồ Chí Minh,27/06/2018 
163678,"Phòng đầy đủ tiện nghi Xô Viết Nghệ Tĩnh, Bình Thạnh",4.4,25.0,Bình Thạnh,Hồ Chí Minh,04/07/2018 
164308,"Cho thuê phòng ở 90 Đinh Bộ Lĩnh, phường 26, Q. Bình Thạnh, liên hệ 0975166177",4.0,,Bình Thạnh,Hồ Chí Minh,27/06/2018 
164461,Cho thuê phòng trọ mới xây bao sang đẹp giá sẻ chia,1.6,22.0,Quận 12,Hồ Chí Minh,27/06/2018 
164468,"Chỗ ở ghép chỉ từ 2 người/phòng KTX cao cấp ngay TT Bình Thạnh, giá từ 1.5tr/người/th",,35.0,Bình Thạnh,Hồ Chí Minh,27/06/2018 
164521,"Phòng cho thuê gần Lotte Mart quận 7, tiện nghi, an ninh, giờ giấc tự do, có bảo vệ 24/24",4.0,30.0,Quận 7,Hồ Chí Minh,06/07/2018 
164955,"Cho thuê phòng mới xây, giờ tự do hẻm 413/56 Lê Văn Quới",2.2,,Bình Tân,Hồ Chí Minh,27/06/2018 
165045,Cho thuê phòng trọ đầy đủ tiện nghi ngay Phố Tây Bùi Viện,4.5,20.0,Quận 1,Hồ Chí Minh,27/06/2018 
165672,"Cho thuê căn hộ mini rộng rãi thoát mái với 5 cửa sổ, cạnh bên Sunrise City giá 4,7 triệu",,,Quận 7,Hồ Chí Minh,04/07/2018 
166133,"Cho thuê phòng trọ tại chung cư Bình Khánh, phường An Phú, quận 2 giá 2 triệu/tháng. LH: 0933285776",2.0,20.0,Quận 2,Hồ Chí Minh,27/06/2018 
166162,"Cho thuê phòng cao cấp đầy đủ tiện nghi gần đường Nguyễn Văn Hưởng, Q2",12.59,40.0,Quận 2,Hồ Chí Minh,27/06/2018 
166177,"Phòng trọ mới đẹp cho thuê đường Chu Văn An máy lạnh, giá thuê 3,2tr/th",3.2,,Bình Thạnh,Hồ Chí Minh,27/06/2018 
166208,"Phòng trọ mới 100% thiết kế như căn hộ mini, đường Phan Huy Ích, P.14, Gò Vấp - Phương 0903 657465",2.6,18.0,Gò Vấp,Hồ Chí Minh,27/06/2018 
166900,"Cho thuê phòng trọ giá rẻ đẹp có WC bếp nấu ăn giờ tự do, xe để trong phòng rất an ninh, 0933902710",2.8,20.0,Quận 2,Hồ Chí Minh,06/07/2018 
168007,"Tìm nam share phòng 442 Nơ Trang Long, Bình Thạnh, LH 0942313443 Tuấn Anh",,25.0,Bình Thạnh,Hồ Chí Minh,28/06/2018 
168503,"Cho thuê phòng trọ lầu 2 ban công nhìn ra mặt đường Lê Hồng Phong, Quận 10",3.8,15.0,Quận 10,Hồ Chí Minh,27/06/2018 
168537,Phòng trọ cao cấp gần Đầm Sen giá tốt. Liên hệ ngay 0939.446.126 Mr Huy,2.3,25.0,Tân Phú,Hồ Chí Minh,27/06/2018 
168539,"Cho thuê phòng SV, NVVP nữ mặt tiền Q4, TPHCM",4.0,25.0,Quận 4,Hồ Chí Minh,27/06/2018 
168885,"Cho thuê phòng trọ KV Q2, an ninh sạch sẽ",2.5,,Quận 2,Hồ Chí Minh,27/06/2018 
169188,Nhà nguyên căn mini cho thuê Phạm Viết Chánh Quận 1 - 6 trđ/tháng,6.0,35.0,Quận 1,Hồ Chí Minh,27/06/2018 
169580,"Căn hộ dịch vụ Phú Mỹ Hưng, Quận 7 đầy đủ nội thất",6.7,,Quận 7,Hồ Chí Minh,27/06/2018 
169679,"Share mọi tiện ích căn hộ cùng với 1 phòng ngủ riêng biệt tại CCCC Diamond Lotus, Q.8. Giá 5.5tr",5.5,,Quận 8,Hồ Chí Minh,27/06/2018 
169773,Căn hộ 35m2 - hẻm đường Phạm Viết Chánh Quận 1 - HCM - giá 6 trđ,6.0,35.0,Quận 1,Hồ Chí Minh,27/06/2018 
169995,"Phòng D2, sạch sẽ, an ninh ở được 4 người",4.9,,Bình Thạnh,Hồ Chí Minh,28/06/2018 
171172,Kí túc xá máy lạnh cho sinh viên và người đi làm gần ĐH Cảnh Sát - Nhà Bè giá chỉ từ 400k/tháng,0.4,50.0,Nhà Bè,Hồ Chí Minh,28/06/2018 
171601,Phòng trọ sạch đẹp hẻm Võ Văn Ngân gần Vincom Thủ Đức,1.8,15.0,Thủ Đức,Hồ Chí Minh,28/06/2018 
171607,"Phòng dịch vụ tiêu chuẩn khách sạn, đầy đủ nội thất, giờ tự do 918 Võ Văn Kiệt, P5, Q5",4.0,17.0,Quận 5,Hồ Chí Minh,06/07/2018 
172354,"Phòng đủ tiện nghi đối diện Pearl Plaza Bình Thạnh, ngay khu du lịch Văn Thánh",5.0,20.0,Bình Thạnh,Hồ Chí Minh,28/06/2018 
172862,Phòng cao cấp Masteri Thảo Điền,5.0,,Quận 2,Hồ Chí Minh,28/06/2018 
173241,"Phòng có sân thượng riêng 30m2, mặt tiền đường 313 Đinh Bộ Lĩnh, giá 3.5 triệu/th",3.5,25.0,Bình Thạnh,Hồ Chí Minh,28/06/2018 
173387,"Phòng 60m2, full nội thất, view sân bay cho thuê 28 Tiền Giang, Tân Bình",9.0,60.0,Tân Bình,Hồ Chí Minh,28/06/2018 
173698,Phòng đầy đủ nội thất gần sân bay. LH: 0928905407,4.5,30.0,Tân Bình,Hồ Chí Minh,28/06/2018 
174215,"Phòng cao cấp full nội thất, an ninh, sang trọng, thoải mái tự do đường Phan Huy Ích Q. Tân Bình",3.7,20.0,Tân Bình,Hồ Chí Minh,28/06/2018 
174551,"Cho thuê phòng trọ kế bên Lottemart quận 7. bảo vệ 24/7 an ninh, sạch sẽ, yên tĩnh",,20.0,Quận 7,Hồ Chí Minh,28/06/2018 
174741,"Phòng trọ cao cấp cho nhân viên văn phòng, sinh viên, gần ĐH Cảnh Sát, ĐH Ngân Hàng, LH: 0939073433",3.5,15.0,Thủ Đức,Hồ Chí Minh,06/07/2018 
175314,"Cần cho thuê phòng trong khu Tên Lửa, lầu 1 - DT: 25m2. Liên hệ chính chủ: 0902998577",3.0,25.0,Bình Tân,Hồ Chí Minh,28/06/2018 
175405,Cho thuê phòng trọ cao cấp kiểu chung cư mini giá tốt,4.3,30.0,Tân Bình,Hồ Chí Minh,28/06/2018 
175772,"Cho thuê phòng có máy lạnh, bảo vệ - khu vực Bình Thạnh, giá từ 3 triệu/tháng",3.0,20.0,Bình Thạnh,Hồ Chí Minh,28/06/2018 
175776,"Cần nữ ở ghép đường D3, P. 25, Q Bình Thạnh, phòng an ninh, thoáng mát, sạch sẽ, giá tốt",,35.0,Bình Thạnh,Hồ Chí Minh,28/06/2018 
176596,"Phòng cho thuê Phú Nhuận, Nguyễn Văn Trỗi, full đồ, có bếp, ban công, cửa sổ giá chỉ từ 4.2tr",4.2,25.0,Phú Nhuận,Hồ Chí Minh,28/06/2018 
176805,"Phòng Cho thuê Full đồ, có bếp, ban công , cửa sổ, XEM LÀ THÍCH giá chỉ từ 4.2 tr",4.2,25.0,Quận 3,Hồ Chí Minh,28/06/2018 
176836,Share phòng trong chung cư Bộ Công An,5.0,,Quận 2,Hồ Chí Minh,28/06/2018 
176912,"Phòng cao cấp có tiện nghi cho thuê HXH gần Hoàng Việt - Út Tịch, P4, TB 4,7 - 5,5tr/tháng",4.7,28.0,Tân Bình,Hồ Chí Minh,28/06/2018 
177125,"Phòng trọ gần chợ Phạm Văn Hai, P3, Tân Bình sát bên chợ 8 - 18m2, giá tốt chính chủ",2.9,,Tân Bình,Hồ Chí Minh,28/06/2018 
177164,"Căn hộ dịch vụ quận 3 đẳng cấp,Full đồ,vị trí thuận tiện, nhân viên nhiệt tình,không gian yên tĩnh",7.5,25.0,Quận 3,Hồ Chí Minh,28/06/2018 
178761,Phòng quá đẹp giá rất yêu thương,1.6,22.0,Quận 12,Hồ Chí Minh,28/06/2018 
178876,"Cho thuê phòng đường Phổ Quang, Phú Nhuận, giá 3tr tháng",3.0,20.0,Tân Bình,Hồ Chí Minh,28/06/2018 
179237,Phòng trọ cao cấp đầy đủ tiện nghi chỉ 4 trđ/tháng,4.0,25.0,Tân Bình,Hồ Chí Minh,29/06/2018 
179238,"Phòng nhỏ xinh dưới đất cho GĐ, 20m2, gác, máy lạnh, 4tr, 41 Lê Cao Lãng, F Phú Thạnh, Tân Phú",4.0,20.0,Tân Phú,Hồ Chí Minh,29/06/2018 
179243,"Phòng đầy đủ nội thất mới xây sạch đẹp Tây Hòa, ngã tư MK, quận 9",3.0,22.0,Quận 9,Hồ Chí Minh,29/06/2018 
179257,"Phòng ở 1 người, 1.6tr, 41 Lê Cao Lãng, F Phú Thạnh, Q Tân Phú",1.6,16.0,Tân Phú,Hồ Chí Minh,29/06/2018 
179298,"Phòng đẹp có ban công full nội thất, gần sân bay Tân Sơn Nhất, Bạch Đằng Q. Tân Bình",5.5,35.0,Tân Bình,Hồ Chí Minh,08/07/2018 
179453,"Cho thuê phòng trọ Nguyễn Văn Quỳ, Quận 7",2.3,24.0,Quận 7,Hồ Chí Minh,29/06/2018 
179495,"Cho thuê phòng trọ mới tại hẻm 226 đường số 8, Số nhà 226/19/29B, Phường Linh Xuân, Thủ Đức, HCM",1.6,20.0,Thủ Đức,Hồ Chí Minh,29/06/2018 
180228,"Phòng cho thuê gần cư xá Đô Thành, quận 3",6.0,20.0,Quận 3,Hồ Chí Minh,29/06/2018 
181555,"Phòng đầy đủ tiện nghi Chu Văn An, phường 26, Bình Thạnh, Hồ Chí Minh",4.4,25.0,Bình Thạnh,Hồ Chí Minh,06/07/2018 
181866,"Phòng đầy đủ nội thất - gần chợ Bến Thành, Q.1, giá 5.5 triệu",5.5,25.0,Quận 1,Hồ Chí Minh,29/06/2018 
182879,"Cần cho thuê phòng trong căn hộ Belleza, nhà trống, bao điện nước. Giá: 2 triệu/th, 0938781609",2.0,11.0,Quận 7,Hồ Chí Minh,29/06/2018 
183205,"Phòng trọ hẻm 263/14 Nguyễn Hồng Đào P14, Quận Tân Bình",2.6,28.0,Tân Bình,Hồ Chí Minh,29/06/2018 
183559,"Cho thuê phòng mới 100% full nội thất đường Hoàng Hoa Thám, quận Tân Bình 32m2, giờ giấc tự do",5.0,32.0,Tân Bình,Hồ Chí Minh,08/07/2018 
184122,"Chính chủ cho nhiều phòng nhà mới xây tại địa chỉ: 125/31 đường Cây Trâm, Phường 9, Q. Gò Vấp",3.0,28.0,Gò Vấp,Hồ Chí Minh,29/06/2018 
184856,"Cho thuê nhà cực đẹp hẻm xe hơi Bạch Đằng, Tân Bình gần sân bay, công viên Gia Định, full nội thất",19.0,,Tân Bình,Hồ Chí Minh,29/06/2018 
184886,"Cho thuê phòng mới 100%, full nội thất, đường Nguyễn Quang Bích, quận Tân Bình, 35m2 giờ giấc tự do",5.0,35.0,Tân Bình,Hồ Chí Minh,29/06/2018 
185131,"Nhà trọ cho thuê ngã tư Tân Quy, Củ Chi",1.1,25.0,Củ Chi,Hồ Chí Minh,29/06/2018 
185147,"Cho thuê phòng mới 100%, full nội thất, đường Thân Nhân Trung - quận Tân Bình, 35m2, giờ giấc tự do",5.0,35.0,Tân Bình,Hồ Chí Minh,29/06/2018 
185370,"Phòng trọ cao cấp mặt tiền Tân Sơn, P.15, Q. Tân Bình",2.0,25.0,Tân Bình,Hồ Chí Minh,29/06/2018 
185852,"Cho thuê phòng trong căn hộ chung cư Era Town Q7, 25m2, 3.5triệu/tháng, phòng trống. LH 0977108828",3.5,25.0,Quận 7,Hồ Chí Minh,29/06/2018 
185915,"Còn 1 phòng 35m2 đầy đủ nội thất, giờ giấc tự do, lối đi riêng, không chung chủ",5.8,35.0,Quận 10,Hồ Chí Minh,08/07/2018 
185976,Cho thuê nhà trọ mini có gác - Phạm Viết Chánh - Quận 1 - giá chỉ 6 tr/th,6.0,25.0,Quận 1,Hồ Chí Minh,29/06/2018 
186016,"Căn hộ mini có gác nhỏ - DTSD: 35m2, giá 6 tr/th - trung tâm quận 1",6.0,35.0,Quận 1,Hồ Chí Minh,29/06/2018 
186114,"Phòng trọ riêng cho thuê mới sạch, giá 2,2tr/tháng",2.2,,Bình Thạnh,Hồ Chí Minh,29/06/2018 
186538,"Căn hộ để ở, có gác, phù hợp gia đình, vợ chồng trẻ, Phạm Viết Chánh, Quận 1, 6,5tr/th",6.0,35.0,Quận 1,Hồ Chí Minh,29/06/2018 
186717,"Cho thuê phòng tại HXH Bạch Đằng, Q. Bình Thạnh, gần ngã tư Hàng Xanh, đầy đủ nội thất, 6 tr/th",6.0,40.0,Bình Thạnh,Hồ Chí Minh,29/06/2018 
186852,"Cho thuê phòng đẹp mới xây Q1, gần Thảo Cầm Viên, nội thất mới 100%, bảo vệ 24/24, giờ giấc tự do",8.5,35.0,Quận 1,Hồ Chí Minh,08/07/2018 
187036,Cho thuê phòng trọ trong villa,1.6,22.0,Quận 12,Hồ Chí Minh,07/07/2018 
187339,"Biệt thự quận 7 cho thuê, phòng 45m2, full nội thất, phía sau Lotte Mart q7",6.0,45.0,Quận 7,Hồ Chí Minh,29/06/2018 
187352,"Cho thuê 6 phòng trọ mới xây gần Đầm Sen có lối đi riêng, có máy lạnh, nước nóng, vệ sinh riêng",2.2,,Tân Phú,Hồ Chí Minh,02/07/2018 
187794,"Phòng trọ mới, đầy đủ tiện nghi, 303 Phan Anh",2.0,25.0,Bình Tân,Hồ Chí Minh,08/07/2018 
188032,Cho thuê phòng trọ siêu rộng 30m2 giá rẻ nhất Quận 7,3.0,30.0,Quận 7,Hồ Chí Minh,30/06/2018 
189010,"Phòng trọ cho thuê Quận 8 - gần trung tâm Q1, Q4, Q7",3.5,14.0,Quận 8,Hồ Chí Minh,30/06/2018 
189967,"Cho thuê phòng kí túc xá ở ghép đường Nguyễn Xí, an ninh giờ giấc tự do Quận Bình Thạnh",,55.0,Bình Thạnh,Hồ Chí Minh,02/07/2018 
190089,"Cho thuê phòng có máy lạnh, WC riêng - khu vực Bình Thạnh, giá từ 3 triệu/tháng",3.0,20.0,Bình Thạnh,Hồ Chí Minh,30/06/2018 
190185,"Phòng cho thuê NT cơ bản, Quốc lộ 13, bến xe MĐ, liên hệ 0984 187 678",2.5,15.0,Thủ Đức,Hồ Chí Minh,02/07/2018 
190238,"Cần tìm 2 nữ ở ghép tại khu vực Phường An Phú, Quận 2. Giá 1,8 triệu/người",1.8,40.0,Quận 2,Hồ Chí Minh,30/06/2018 
190267,"Cần tìm 2 nữ ở ghép gần công viên Cao Đức Lân Quận 2. Giá 1,7 triệu/người",1.7,40.0,Quận 2,Hồ Chí Minh,30/06/2018 
190665,2 phòng căn hộ cao cấp khu vực văn minh,4.0,20.0,Tân Phú,Hồ Chí Minh,02/07/2018 
190736,"Cho thuê phòng trọ nhỏ 5m2 giá siêu rẻ tại hẻm Tôn Thất Thuyết, Quận 4, chỉ 800nghìn - 1tr",0.8,5.0,Quận 4,Hồ Chí Minh,30/06/2018 
190766,"Phòng trọ Phú Nhuận, 30m2, mới, sạch sẽ, bao điện nước, Cô Huệ 0949 682 461",3.5,30.0,Phú Nhuận,Hồ Chí Minh,03/07/2018 
190822,Cho thuê 1 phòng trong CC Phúc Thịnh Q5,4.3,20.0,Quận 5,Hồ Chí Minh,02/07/2018 
191024,"Cho thuê phòng trọ cao cấp đường số 9, Hiệp Bình Phước",3.0,24.0,Thủ Đức,Hồ Chí Minh,02/07/2018 
191031,Phòng cho thuê đầy đủ ngay trung tâm Quận Phú Nhuận,4.5,25.0,Phú Nhuận,Hồ Chí Minh,02/07/2018 
191235,Cho thuê phòng full nội thất đường Hoàng Hoa Thám quận Tân Bình giờ giấc tự do WC riêng,,32.0,Tân Bình,Hồ Chí Minh,08/07/2018 
191329,"Cho nữ thuê phòng trọ 20m, có thể ở được 4 - 6 người, có WC riêng, giờ tự do, có ban công",,24.0,Tân Bình,Hồ Chí Minh,30/06/2018 
193013,"Cho thuê phòng riêng, full nội thất, gần chợ Tân Bình",3.5,35.0,Tân Bình,Hồ Chí Minh,02/07/2018 
193021,"Cho thuê phòng 20m2, số 95 mặt tiền Nguyễn Duy Trinh Q2, 2tr - 2.5tr/th, liên hệ: 0979750092",2.2,20.0,Quận 2,Hồ Chí Minh,02/07/2018 
193111,Cho thuê phòng riêng đầy đủ nội thất Q. Tân Bình,3.5,35.0,Tân Bình,Hồ Chí Minh,30/06/2018 
193113,"Tìm nữ ở ghép chung cư Bộ Công An, Trần Não, Q2 2.5 triệu",2.5,,Quận 2,Hồ Chí Minh,30/06/2018 
193124,"Cho thuê phòng trọ nữ mặt tiền Phạm Thế Hiển, Q8",1.8,9.0,Quận 8,Hồ Chí Minh,02/07/2018 
193179,"Phòng full nội thất đẹp siêu rẻ, giá 3500k/th, gần chợ Tân Bình",3.5,35.0,Tân Bình,Hồ Chí Minh,30/06/2018 
193218,"Cho thuê phòng trọ tầng lửng số 301 bis Trần Hưng Đạo, quận 1. Giá thuê 3 tr/ tháng",3.0,12.25,Quận 1,Hồ Chí Minh,09/07/2018 
193242,Căn hộ mini tiện nghi thuê ngắn và dài hạn quận 1,4.8,40.0,Quận 1,Hồ Chí Minh,02/07/2018 
193384,"Cho nữ thuê phòng - Tivi, wifi, WC trong phòng - 16m2",1.8,,Quận 3,Hồ Chí Minh,02/07/2018 
193541,"Cho thuê phòng trọ mới xây, sạch đẹp, full nội thất, giá 3,5tr, tại 139 Thành Mỹ, Q. Tân Bình",3.5,25.0,Tân Bình,Hồ Chí Minh,01/07/2018 
193864,"Cho thuê nhà khu vực Phạm Văn Hai đầy đủ tiện nghi, giờ giác tự do, phòng mới đẹp. LH: 0902318599",,40.0,Tân Bình,Hồ Chí Minh,02/07/2018 
194028,"Phòng nội thất cao cấp, Đề Thám cho thuê",8.0,35.0,Quận 1,Hồ Chí Minh,01/07/2018 
194547,"Phòng ở tiện nghi nội thất, có gác, ngay chợ Nhất Chi Mai, Tân Bình, 25mm2, giá chỉ từ 4.5 tr/th",4.5,25.0,Tân Bình,Hồ Chí Minh,10/07/2018 
194614,"Phòng trọ trung tâm Quận 7, gần Big C, đầy đủ tiện nghi, 5.1 tr/tháng",5.1,27.0,Quận 7,Hồ Chí Minh,02/07/2018 
194665,"Căn hộ 1PN, full nội thất, ban công - cửa sổ, 45m2, giá chỉ từ 6.5 tr/tháng, ngay chợ Nhất Chi Mai",6.5,45.0,Tân Bình,Hồ Chí Minh,10/07/2018 
194698,"Phòng ở tiện nghi nội thất, ban công, cửa sổ, ngay chợ Nhất Chi Mai, 26m/30m2, giá từ 5 tr/tháng",5.5,26.0,Tân Bình,Hồ Chí Minh,10/07/2018 
194796,"Phòng 16 m2 phường 8, quận 3 cho nữ thuê",3.0,16.0,Quận 3,Hồ Chí Minh,02/07/2018 
194888,"Phòng cao cấp đầy đủ nội thất, không chung chủ",4.5,25.0,Bình Thạnh,Hồ Chí Minh,02/07/2018 
195001,"Cho thuê chia sẻ mọi tiện ích căn hộ với phòng ngủ riêng ở Diamond Lotus, Quận 8. Giá 5.5tr",5.5,,Quận 8,Hồ Chí Minh,02/07/2018 
195060,"Phòng cho thuê cao cấp full nội thất CMT8, Quận 3",5.9,25.0,Quận 3,Hồ Chí Minh,02/07/2018 
195390,"Cho sinh viên nữ và nữ nhân viên văn phòng thuê phòng trọ, mới xây thoáng mát",,16.0,Thủ Đức,Hồ Chí Minh,02/07/2018 
196454,Cho thuê phòng full tiện nghi ở ngay trung tâm quận Phú Nhuận. LH 0966.089.433,4.8,,Phú Nhuận,Hồ Chí Minh,02/07/2018 
197782,Phòng kiếng sạch sẽ toilet riêng biệt,2.5,18.0,Quận 10,Hồ Chí Minh,02/07/2018 
197790,"Căn hộ mini cho thuê đường Trường Sơn, ngay sân bay, 1PN, 1PK, có kệ bếp, rất đẹp gần sân bay",5.0,35.0,Tân Bình,Hồ Chí Minh,10/07/2018 
198085,"Phòng trọ cao cấp, an toàn, dành cho nữ, sạch sẽ yên tĩnh",2.8,28.0,Tân Phú,Hồ Chí Minh,03/07/2018 
198136,"Cho thuê phòng chung cư Hoàng Kim, 573 Huỳnh Tấn Phát, Q7, đầy đủ nội thất, giá 3tr/th",3.0,,Quận 7,Hồ Chí Minh,04/07/2018 
198307,"Cho thuê phòng trọ mới đẹp như khách sạn hai sao
Liên hệ chính chủ Mr Thường 0901333212",5.0,25.0,Quận 1,Hồ Chí Minh,02/07/2018 
198380,"Thuê phòng 2.5 triệu/tháng, phòng đẹp 20m2 gần nhà hàng Riverside Q4",2.5,20.0,Quận 4,Hồ Chí Minh,09/07/2018 
198498,"Cho thuê phòng trọ tại Phường Long Trường, Quận 9, TP HCM",0.9,16.0,Quận 9,Hồ Chí Minh,02/07/2018 
198509,Cho thuê phòng mới xây Nguyễn Duy Trinh Quận 2,3.5,17.5,Quận 2,Hồ Chí Minh,03/07/2018 
